[2026-07-17 09:26:54] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:26:55] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:27:08] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:27:18] Request page=quan-ly-nhanvien, role=hr, hasPerm=YES
[2026-07-17 09:28:21] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:31:55] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:31:56] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:32:20] Request page=face-api-register, role=hr, hasPerm=YES
[2026-07-17 09:32:27] Request page=tinh-cong, role=hr, hasPerm=YES
[2026-07-17 09:32:28] Request page=tinh-cong, role=hr, hasPerm=YES
[2026-07-17 09:32:28] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:32:29] Request page=tinh-cong, role=hr, hasPerm=YES
[2026-07-17 09:32:30] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:32:37] Request page=face-api-delete, role=hr, hasPerm=YES
[2026-07-17 09:32:42] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:33:32] Request page=face-api-register, role=hr, hasPerm=YES
[2026-07-17 09:33:34] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:33:40] Request page=face-api-delete, role=hr, hasPerm=YES
[2026-07-17 09:34:03] Request page=face-api-delete, role=hr, hasPerm=YES
[2026-07-17 09:34:05] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:47:52] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:48:13] Request page=face-api-register, role=hr, hasPerm=YES
[2026-07-17 09:48:20] Request page=face-register, role=hr, hasPerm=YES
[2026-07-17 09:48:25] Request page=face-api-delete, role=hr, hasPerm=YES
[2026-07-17 09:48:31] Request page=face-register, role=hr, hasPerm=YES
